DATE,CUUR0000SETB01
1996-07-01,108.800
1996-08-01,106.100
1996-09-01,105.700
1996-10-01,105.200
1996-11-01,107.100
1996-12-01,107.900
1997-01-01,107.900
1997-02-01,107.400
1997-03-01,105.800
1997-04-01,105.400
1997-05-01,105.200
1997-06-01,105.400
1997-07-01,103.500
1997-08-01,107.400
1997-09-01,109.200
1997-10-01,106.500
1997-11-01,104.100
1997-12-01,101.300
1998-01-01,97.200
1998-02-01,93.500
1998-03-01,90.300
1998-04-01,91.100
1998-05-01,94.200
1998-06-01,94.300
1998-07-01,93.200
1998-08-01,91.100
1998-09-01,89.500
1998-10-01,90.300
1998-11-01,89.200
1998-12-01,85.700
1999-01-01,84.500
1999-02-01,83.100
1999-03-01,85.800
1999-04-01,100.400
1999-05-01,100.800
1999-06-01,98.600
1999-07-01,101.900
1999-08-01,107.200
1999-09-01,109.700
1999-10-01,109.400
1999-11-01,108.700
1999-12-01,111.500
2000-01-01,111.900
2000-02-01,117.300
2000-03-01,130.900
2000-04-01,127.900
2000-05-01,127.600
2000-06-01,138.300
2000-07-01,135.400
2000-08-01,127.700
2000-09-01,134.300
2000-10-01,132.300
2000-11-01,132.200
2000-12-01,127.000
2001-01-01,125.800
2001-02-01,126.800
2001-03-01,123.300
2001-04-01,132.800
2001-05-01,146.000
2001-06-01,141.300
2001-07-01,124.900
2001-08-01,121.200
2001-09-01,130.700
2001-10-01,115.600
2001-11-01,103.800
2001-12-01,95.400
2002-01-01,97.200
2002-02-01,97.600
2002-03-01,107.100
2002-04-01,120.800
2002-05-01,120.800
2002-06-01,119.500
2002-07-01,120.300
2002-08-01,120.900
2002-09-01,121.100
2002-10-01,123.900
2002-11-01,123.800
2002-12-01,119.100
2003-01-01,125.700
2003-02-01,139.700
2003-03-01,147.400
2003-04-01,139.900
2003-05-01,130.600
2003-06-01,129.500
2003-07-01,130.000
2003-08-01,138.400
2003-09-01,146.500
2003-10-01,136.000
2003-11-01,130.600
2003-12-01,127.200
2004-01-01,136.100
2004-02-01,142.500
2004-03-01,149.800
2004-04-01,155.300
2004-05-01,169.800
2004-06-01,172.700
2004-07-01,164.500
2004-08-01,161.200
2004-09-01,160.500
2004-10-01,172.200
2004-11-01,171.000
2004-12-01,160.400
2005-01-01,155.600
2005-02-01,163.400
2005-03-01,175.000
2005-04-01,192.900
2005-05-01,187.300
2005-06-01,184.600
2005-07-01,196.500
2005-08-01,211.700
2005-09-01,248.500
2005-10-01,235.900
2005-11-01,198.600
2005-12-01,186.200
2006-01-01,198.200
2006-02-01,197.000
2006-03-01,204.700
2006-04-01,234.400
2006-05-01,249.800
2006-06-01,247.300
2006-07-01,254.600
2006-08-01,253.200
2006-09-01,219.000
2006-10-01,192.700
2006-11-01,190.300
2006-12-01,198.100
