  Date , Regular , Midgrade , Premium 
,,,
,,,
 08/10/2020 ,3.054,3.27,3.385
 08/03/2020 ,3.058,3.269,3.382
 07/27/2020 ,3.049,3.267,3.38
 07/20/2020 ,3.031,3.245,3.35
 07/13/2020 ,3.022,3.234,3.341
 07/06/2020 ,2.981,3.205,3.308
 06/29/2020 ,2.963,3.185,3.287
 06/22/2020 ,2.939,3.169,3.272
 06/15/2020 ,2.891,3.129,3.225
 06/08/2020 ,2.855,3.094,3.174
 06/01/2020 ,2.798,3.036,3.128
 05/25/2020 ,2.766,3.017,3.094
 05/18/2020 ,2.688,2.943,3.03
 05/11/2020 ,2.65,2.901,2.991
 05/04/2020 ,2.635,2.886,2.972
 04/27/2020 ,2.652,2.905,2.984
 04/20/2020 ,2.7,2.957,3.023
 04/13/2020 ,2.751,2.998,3.069
 04/06/2020 ,2.872,3.123,3.175
 03/30/2020 ,2.953,3.199,3.247
 03/23/2020 ,3.066,3.308,3.352
 03/16/2020 ,3.222,3.443,3.523
 03/09/2020 ,3.325,3.543,3.632
 03/02/2020 ,3.353,3.578,3.674
 02/24/2020 ,3.36,3.592,3.683
 02/17/2020 ,3.358,3.599,3.68
 02/10/2020 ,3.366,3.604,3.687
 02/03/2020 ,3.371,3.611,3.697
 01/27/2020 ,3.388,3.609,3.703
 01/20/2020 ,3.408,3.635,3.716
 01/13/2020 ,3.419,3.642,3.725
 01/06/2020 ,3.428,3.646,3.73
 12/30/2019 ,3.438,3.66,3.75
 12/23/2019 ,3.457,3.674,3.769
 12/16/2019 ,3.508,3.716,3.826
 12/09/2019 ,3.58,3.788,3.883
 12/02/2019 ,3.674,3.879,3.971
 11/25/2019 ,3.753,3.95,4.043
 11/18/2019 ,3.847,4.035,4.134
 11/11/2019 ,3.921,4.144,4.229
 11/04/2019 ,3.953,4.179,4.273
 10/28/2019 ,3.948,4.146,4.239
 10/21/2019 ,4.03,4.241,4.332
 10/15/2019 ,4.089,4.3,4.396
 10/07/2019 ,4.091,4.303,4.407
 09/30/2019 ,3.953,4.174,4.281
 09/23/2019 ,3.613,3.822,3.918
 09/16/2019 ,3.496,3.696,3.801
 09/09/2019 ,3.494,3.702,3.798
 09/02/2019 ,3.491,3.711,3.803
 08/26/2019 ,3.44,3.648,3.732
 08/19/2019 ,3.463,3.66,3.756
 08/12/2019 ,3.487,3.686,3.78
 08/05/2019 ,3.537,3.748,3.838
 07/29/2019 ,3.551,3.753,3.849
 07/22/2019 ,3.569,3.772,3.863
 07/15/2019 ,3.605,3.808,3.902
 07/08/2019 ,3.627,3.826,3.923
 07/01/2019 ,3.621,3.822,3.919
 06/24/2019 ,3.613,3.8,3.9
 06/17/2019 ,3.678,3.871,3.964
 06/10/2019 ,3.745,3.933,4.035
 06/03/2019 ,3.83,4.009,4.109
 05/27/2019 ,3.878,4.059,4.174
 05/20/2019 ,3.934,4.118,4.231
 05/13/2019 ,3.968,4.153,4.267
 05/06/2019 ,4.006,4.199,4.305
 04/29/2019 ,3.982,4.175,4.292
 04/22/2019 ,3.948,4.141,4.245
 04/15/2019 ,3.922,4.116,4.219
 04/08/2019 ,3.718,3.916,4.015
 04/01/2019 ,3.529,3.722,3.828
